id,departure city,discount,price,no of items,location,class,segment,sub-class,delivery type,RID,profit,delivery date,address code,departure state,placement date,Profit percent,Discount percent
17,Scottsdale,0.7,181.47,5,West,qexty,Consumer,pants,First Class,5466,-320.597,01-01-2018,85254,Arizona,01-01-2018,-176.6666667,0.38573869
18,Los Angeles,0,19.36,2,West,kariox,Consumer,phone,Standard Class,5737,9.2928,01-01-2018,90049,California,01-01-2018,48,0
19,Scottsdale,0.2,108.72,5,West,kariox,Consumer,watch,First Class,5465,36.693,01-01-2018,85254,Arizona,01-01-2018,33.75,0.183958793
20,Miami,0.2,25.248,3,South,qexty,Consumer,shorts,Second Class,9990,4.1028,01-01-2018,33180,Florida,01-01-2018,16.25,0.792141952
21,Lafayette,0,5.94,3,Central,kariox,Consumer,lighting,Standard Class,9887,0,01-01-2018,47905,Indiana,01-01-2018,0,0
22,Mission Viejo,0.15,290.666,2,West,qexty,Consumer,pants,First Class,3366,3.4196,01-02-2018,92691,California,01-01-2018,1.176470588,0.051605623
23,Detroit,0,229.94,2,Central,kariox,Consumer,laptop,Standard Class,6389,6.8982,01-02-2018,48234,Michigan,01-01-2018,3,0
24,Detroit,0,10.56,2,Central,kariox,Consumer,phone,Standard Class,6388,4.752,01-02-2018,48234,Michigan,01-01-2018,45,0
25,New York City,0.2,3.928,1,East,kariox,Consumer,headset,Standard Class,3084,1.3257,01-02-2018,10024,New York,01-01-2018,33.75,5.091649695
26,San Diego,0,36.44,4,West,kariox,Consumer,television,Standard Class,3797,12.0252,01-02-2018,92037,California,01-01-2018,33,0
27,San Diego,0.2,333,3,West,qexty,Consumer,hoodies,Standard Class,3796,-16.65,01-02-2018,92037,California,01-01-2018,-5,0.06006006
28,San Diego,0,57.23,1,West,kariox,Consumer,laptop,Standard Class,3795,14.3075,01-02-2018,92037,California,01-01-2018,25,0
29,Las Vegas,0,40.08,6,West,kariox,Consumer,phone,Standard Class,9156,19.2384,01-01-2018,89115,Nevada,01-01-2018,48,0
30,Rapid City,0,141.96,2,Central,qexty,Corporate,pants,First Class,8151,39.7488,01-01-2018,57701,South Dakota,01-01-2018,28,0
31,Alexandria,0,187.98,2,South,fynota,Home Office,colddrinks,Standard Class,2585,52.6344,01-01-2018,22304,Virginia,01-01-2018,28,0
32,Alexandria,0,12.42,3,South,qexty,Home Office,shorts,Standard Class,2584,4.4712,01-01-2018,22304,Virginia,01-01-2018,36,0
33,Alexandria,0,155.35,13,South,fynota,Home Office,colddrinks,Standard Class,2583,0,01-01-2018,22304,Virginia,01-01-2018,0,0
34,Alexandria,0,16.68,2,South,kariox,Home Office,phone,Standard Class,2582,8.34,01-01-2018,22304,Virginia,01-01-2018,50,0
35,Alexandria,0,19.44,3,South,kariox,Home Office,phone,Standard Class,2581,9.3312,01-01-2018,22304,Virginia,01-01-2018,48,0
36,Alexandria,0,489.92,8,South,kariox,Home Office,laptop,Standard Class,2580,0,01-01-2018,22304,Virginia,01-01-2018,0,0
37,Alexandria,0,62.82,3,South,qexty,Home Office,shorts,Standard Class,2579,30.7818,01-01-2018,22304,Virginia,01-01-2018,49,0
38,Rapid City,0,10.68,2,Central,kariox,Corporate,headset,First Class,8150,5.0196,01-01-2018,57701,South Dakota,01-01-2018,47,0
39,Scottsdale,0.2,56.064,4,West,kariox,Consumer,phone,First Class,5464,19.6224,01-01-2018,85254,Arizona,01-01-2018,35,0.35673516
40,Los Angeles,0,19.3,2,West,qexty,Consumer,shorts,Standard Class,5738,5.79,01-01-2018,90049,California,01-01-2018,30,0
41,Springfield,0.2,64.864,4,West,kariox,Corporate,battery,Second Class,5365,6.4864,01-01-2018,97477,Oregon,01-01-2018,10,0.308337444
42,Laredo,0.2,31.2,3,Central,fynota,Consumer,chocolates,Standard Class,594,9.75,01-01-2018,78041,Texas,01-01-2018,31.25,0.641025641
43,Laredo,0.2,9.344,2,Central,kariox,Consumer,television,Standard Class,593,1.168,01-01-2018,78041,Texas,01-01-2018,12.5,2.140410959
44,Huntsville,0.8,10.43,7,Central,kariox,Consumer,headset,Standard Class,7662,-18.2525,01-01-2018,77340,Texas,01-01-2018,-175,7.670182167
45,Huntsville,0.6,76.728,3,Central,qexty,Consumer,shorts,Standard Class,7661,-53.7096,01-01-2018,77340,Texas,01-01-2018,-70,0.781983109
46,Henderson,0,6.54,1,South,kariox,Home Office,phone,Standard Class,7481,3.0084,01-01-2018,42420,Kentucky,01-01-2018,46,0
47,Henderson,0,31.12,4,South,kariox,Home Office,lighting,Standard Class,7480,0.3112,01-01-2018,42420,Kentucky,01-01-2018,1,0
48,Henderson,0,755.96,4,South,fynota,Home Office,colddrinks,Standard Class,7479,204.1092,01-01-2018,42420,Kentucky,01-01-2018,27,0
49,Henderson,0,391.98,2,South,fynota,Home Office,colddrinks,Standard Class,7478,113.6742,01-01-2018,42420,Kentucky,01-01-2018,29,0
50,Scottsdale,0.7,32.34,10,West,kariox,Consumer,headset,First Class,5463,-23.716,01-01-2018,85254,Arizona,01-01-2018,-73.33333333,2.164502165
51,Henderson,0,609.98,2,South,kariox,Home Office,headset,Standard Class,7476,274.491,01-01-2018,42420,Kentucky,01-01-2018,45,0
52,Henderson,0,2573.82,9,South,qexty,Home Office,tshirts,Standard Class,7475,746.4078,01-01-2018,42420,Kentucky,01-01-2018,29,0
53,Athens,0,12.78,3,South,kariox,Corporate,television,First Class,7181,5.2398,01-01-2018,30605,Georgia,01-01-2018,41,0
54,Los Angeles,0,19.44,3,West,kariox,Consumer,phone,,5328,9.3312,01-01-2018,90049,California,01-01-2018,48,0
55,Philadelphia,0.2,19.536,3,East,kariox,Consumer,television,Standard Class,1760,4.884,01-01-2018,19143,Pennsylvania,01-01-2018,25,1.023751024
56,Naperville,0.8,3.54,2,Central,kariox,Home Office,headset,Standard Class,742,-5.487,01-01-2018,60540,Illinois,01-01-2018,-155,22.59887006
57,Naperville,0.2,272.736,3,Central,kariox,Home Office,laptop,Standard Class,741,-64.7748,01-01-2018,60540,Illinois,01-01-2018,-23.75,0.073330987
58,Naperville,0.2,11.784,3,Central,kariox,Home Office,tablet,Standard Class,740,4.2717,01-01-2018,60540,Illinois,01-01-2018,36.25,1.697216565
59,Springfield,0,2.89,1,South,kariox,Corporate,tablet,Standard Class,866,1.3583,01-01-2018,22153,Virginia,01-01-2018,47,0
60,Springfield,0,51.94,1,South,qexty,Corporate,shorts,Standard Class,867,21.2954,01-01-2018,22153,Virginia,01-01-2018,41,0
61,Henderson,0,5.48,2,South,kariox,Home Office,television,Standard Class,7477,1.4796,01-01-2018,42420,Kentucky,01-01-2018,27,0
62,Bossier City,0,11.36,2,South,kariox,Corporate,watch,Second Class,764,5.3392,01-01-2018,71111,Louisiana,01-01-2018,47,0
63,Dover,0,9.94,2,East,qexty,Consumer,shorts,First Class,717,3.0814,01-01-2018,19901,Delaware,01-01-2018,31,0
64,Philadelphia,0.2,30.072,3,East,kariox,Consumer,tablet,Second Class,974,10.1493,01-01-2018,19134,Pennsylvania,01-01-2018,33.75,0.665070497
65,Philadelphia,0.7,18.588,2,East,kariox,Consumer,headset,Second Class,973,-13.6312,01-01-2018,19134,Pennsylvania,01-01-2018,-73.33333333,3.765870454
66,Philadelphia,0.4,124.2,3,East,fynota,Consumer,colddrinks,Second Class,972,-31.05,01-01-2018,19134,Pennsylvania,01-01-2018,-25,0.322061192
67,Philadelphia,0.2,127.104,6,East,qexty,Consumer,shorts,Second Class,971,28.5984,01-01-2018,19134,Pennsylvania,01-01-2018,22.5,0.15735146
68,Philadelphia,0.5,61.96,4,East,qexty,Corporate,pants,First Class,6475,-53.2856,01-01-2018,19140,Pennsylvania,01-01-2018,-86,0.80697224
69,Newark,0.7,3.438,2,East,kariox,Consumer,headset,Standard Class,9630,-2.5212,01-01-2018,43055,Ohio,01-01-2018,-73.33333333,20.36067481
70,Newark,0.2,37.408,7,East,kariox,Consumer,phone,Standard Class,9629,13.0928,01-01-2018,43055,Ohio,01-01-2018,35,0.534644996
71,Roswell,0,149.95,5,South,fynota,Consumer,chocolates,First Class,1914,65.978,01-01-2018,30076,Georgia,01-01-2018,44,0
72,San Francisco,0.15,333.999,3,West,qexty,Consumer,pants,Standard Class,4939,3.9294,01-01-2018,94109,California,01-01-2018,1.176470588,0.044910314
73,San Francisco,0,1325.85,5,West,kariox,Consumer,laptop,Standard Class,4938,238.653,01-01-2018,94109,California,01-01-2018,18,0
74,Mount Pleasant,0,545.94,6,South,qexty,Consumer,tshirts,Second Class,2979,87.3504,01-01-2018,29464,South Carolina,01-01-2018,16,0
75,Bossier City,0,572.58,6,South,kariox,Corporate,laptop,Second Class,768,34.3548,01-01-2018,71111,Louisiana,01-01-2018,6,0
76,Bossier City,0,5.64,3,South,kariox,Corporate,headset,Second Class,767,2.7072,01-01-2018,71111,Louisiana,01-01-2018,48,0
77,Bossier City,0,646.74,6,South,fynota,Corporate,chocolates,Second Class,766,258.696,01-01-2018,71111,Louisiana,01-01-2018,40,0
78,San Francisco,0,19.9,5,West,kariox,Consumer,television,Standard Class,4940,6.567,01-01-2018,94109,California,01-01-2018,33,0
79,Bossier City,0,50.94,3,South,kariox,Corporate,watch,Second Class,765,25.47,01-01-2018,71111,Louisiana,01-01-2018,50,0
80,Concord,0.2,129.568,2,West,qexty,Consumer,tshirts,Standard Class,457,-24.294,01-02-2018,94521,California,01-02-2018,-18.75,0.154359101
81,Dallas,0.8,7.96,2,Central,kariox,Consumer,battery,Standard Class,1334,-13.93,01-02-2018,75220,Texas,01-02-2018,-175,10.05025126
82,Dallas,0.8,1.08,3,Central,kariox,Consumer,headset,Standard Class,1333,-1.728,01-02-2018,75220,Texas,01-02-2018,-160,74.07407407
83,Seattle,0.2,21.36,5,West,kariox,Corporate,headset,Standard Class,7438,7.209,01-02-2018,98105,Washington,01-02-2018,33.75,0.936329588
84,Houston,0.2,16.176,3,Central,kariox,Consumer,phone,Second Class,5467,6.066,01-02-2018,77095,Texas,01-02-2018,37.5,1.236399604
85,Seattle,0,81.96,2,West,kariox,Corporate,battery,Standard Class,9763,22.9488,01-02-2018,98103,Washington,01-02-2018,28,0
86,Seattle,0,239.97,3,West,fynota,Corporate,chocolates,Standard Class,9762,86.3892,01-02-2018,98103,Washington,01-02-2018,36,0
87,Chicago,0.2,54.208,14,Central,kariox,Consumer,television,Standard Class,9516,8.8088,01-02-2018,60653,Illinois,01-02-2018,16.25,0.368949233
88,Seattle,0,238.62,2,West,kariox,Corporate,charger,Standard Class,9764,4.7724,01-02-2018,98103,Washington,01-02-2018,2,0
89,Lubbock,0.6,25.16,5,Central,qexty,Consumer,shorts,Same Day,6082,-11.322,01-02-2018,79424,Texas,01-02-2018,-45,2.384737679
90,Medford,0.2,32.896,4,West,kariox,Consumer,phone,Standard Class,5512,11.1024,01-03-2018,97504,Oregon,01-02-2018,33.75,0.607976654
91,Richmond,0,62.31,3,Central,fynota,Corporate,chocolates,Standard Class,4521,22.4316,01-02-2018,47374,Indiana,01-02-2018,36,0
92,Richmond,0,20.32,4,Central,qexty,Corporate,shorts,Standard Class,4522,6.9088,01-02-2018,47374,Indiana,01-02-2018,34,0
93,Los Angeles,0,12.96,2,West,kariox,Home Office,phone,Standard Class,8504,6.2208,01-02-2018,90049,California,01-02-2018,48,0
94,Woodstock,0.8,8.85,5,Central,kariox,Consumer,headset,Standard Class,2883,-13.7175,01-02-2018,60098,Illinois,01-02-2018,-155,9.039548023
95,Moreno Valley,0,19.44,3,West,kariox,Consumer,phone,First Class,7611,9.3312,01-02-2018,92553,California,01-02-2018,48,0
96,El Paso,0.2,6.936,3,Central,kariox,Home Office,tablet,Standard Class,6530,2.3409,01-02-2018,79907,Texas,01-02-2018,33.75,2.883506344
97,El Paso,0.8,4.428,3,Central,kariox,Home Office,headset,Standard Class,6531,-6.8634,01-02-2018,79907,Texas,01-02-2018,-155,18.06684734
98,Medford,0.2,22.776,3,West,kariox,Consumer,phone,Standard Class,5513,7.6869,01-03-2018,97504,Oregon,01-02-2018,33.75,0.878117316
99,Columbus,0.2,19.456,4,East,kariox,Consumer,television,First Class,9464,3.4048,01-03-2018,43229,Ohio,01-02-2018,17.5,1.027960526
100,Columbia,0,64.96,2,Central,kariox,Consumer,laptop,Second Class,9260,2.5984,01-02-2018,65203,Missouri,01-02-2018,4,0
101,Arlington,0.2,12.624,2,Central,kariox,Consumer,laptop,Standard Class,8223,-2.5248,01-02-2018,76017,Texas,01-02-2018,-20,1.584283904
102,Columbia,0,51.9,3,Central,kariox,Consumer,headset,Second Class,9259,24.393,01-02-2018,65203,Missouri,01-02-2018,47,0
103,Columbia,0,332.94,3,Central,qexty,Consumer,shorts,Second Class,9258,53.2704,01-02-2018,65203,Missouri,01-02-2018,16,0
104,Columbia,0,9.64,2,Central,kariox,Consumer,headset,Second Class,9257,4.4344,01-02-2018,65203,Missouri,01-02-2018,46,0
105,Green Bay,0,468.9,6,Central,fynota,Consumer,chocolates,First Class,541,206.316,01-02-2018,54302,Wisconsin,01-02-2018,44,0
106,San Diego,0,12.35,5,West,kariox,Home Office,lighting,Standard Class,1704,5.8045,01-02-2018,92037,California,01-02-2018,47,0
107,Saint Petersburg,0.2,180.96,5,South,fynota,Consumer,colddrinks,Standard Class,9139,13.572,01-02-2018,33710,Florida,01-02-2018,7.5,0.110521662
108,Seattle,0.2,83.84,2,West,kariox,Consumer,headset,Second Class,1518,27.248,01-02-2018,98105,Washington,01-02-2018,32.5,0.238549618
109,Seattle,0.2,13.272,3,West,kariox,Consumer,headset,Second Class,1519,4.3134,01-02-2018,98105,Washington,01-02-2018,32.5,1.506931887
110,San Diego,0.2,82.896,3,West,kariox,Home Office,headset,Standard Class,1544,29.0136,01-02-2018,92024,California,01-02-2018,35,0.241266165
111,San Diego,0,34.24,4,West,kariox,Home Office,phone,Standard Class,1545,16.0928,01-02-2018,92024,California,01-02-2018,47,0
112,Escondido,0.2,17.248,2,West,kariox,Corporate,headset,Second Class,8585,6.0368,01-02-2018,92025,California,01-02-2018,35,1.159554731
113,Chesapeake,0,15,4,South,kariox,Corporate,tablet,First Class,1998,7.2,01-02-2018,23320,Virginia,01-02-2018,48,0
114,Chesapeake,0,161.61,1,South,fynota,Corporate,colddrinks,First Class,1999,42.0186,01-02-2018,23320,Virginia,01-02-2018,26,0
115,Saint Petersburg,0.7,18.336,2,South,kariox,Consumer,headset,Standard Class,9138,-12.224,01-02-2018,33710,Florida,01-02-2018,-66.66666667,3.817626527
116,Romeoville,0.8,8.952,2,Central,kariox,Consumer,headset,Second Class,8981,-14.7708,01-02-2018,60441,Illinois,01-02-2018,-165,8.936550492
117,Chesapeake,0,144.95,5,South,fynota,Corporate,colddrinks,First Class,2000,42.0355,01-02-2018,23320,Virginia,01-02-2018,29,0
118,Columbia,0,14.94,3,Central,kariox,Consumer,tablet,Second Class,9256,6.8724,01-02-2018,65203,Missouri,01-02-2018,46,0
119,Chesapeake,0,17.46,2,South,kariox,Consumer,headset,Standard Class,5633,8.2062,01-02-2018,23320,Virginia,01-02-2018,47,0
120,Chesapeake,0,1256.22,6,South,qexty,Consumer,hoodies,Standard Class,5632,75.3732,01-02-2018,23320,Virginia,01-02-2018,6,0
121,Columbia,0,60.89,1,Central,qexty,Consumer,tshirts,Second Class,9255,15.2225,01-02-2018,65203,Missouri,01-02-2018,25,0
122,North Las Vegas,0,14.56,2,West,qexty,Home Office,shorts,First Class,9267,5.5328,01-02-2018,89031,Nevada,01-02-2018,38,0
123,New York City,0,64.96,4,East,kariox,Corporate,laptop,Second Class,8736,9.744,01-02-2018,10024,New York,01-02-2018,15,0
124,Linden,0,115.36,7,East,fynota,Corporate,chocolates,Standard Class,850,49.6048,01-02-2018,7036,New Jersey,01-02-2018,43,0
125,Chesapeake,0,234.45,3,South,fynota,Consumer,chocolates,Standard Class,5631,103.158,01-02-2018,23320,Virginia,01-02-2018,44,0
126,Lakeland,0.2,20.016,3,South,qexty,Corporate,shorts,First Class,6166,5.5044,01-03-2018,33801,Florida,01-03-2018,27.5,0.999200639
127,Springfield,0,14.4,5,South,kariox,Corporate,tablet,Standard Class,7585,6.624,01-03-2018,22153,Virginia,01-03-2018,46,0
128,Lakeland,0.2,170.24,2,South,fynota,Corporate,chocolates,First Class,6167,53.2,01-03-2018,33801,Florida,01-03-2018,31.25,0.117481203
129,Hamilton,0.2,7.408,2,East,kariox,Consumer,television,Standard Class,196,1.2038,01-03-2018,45011,Ohio,01-03-2018,16.25,2.699784017
130,Hamilton,0.2,6.048,3,East,kariox,Consumer,television,Standard Class,197,1.5876,01-03-2018,45011,Ohio,01-03-2018,26.25,3.306878307
131,Asheville,0.2,16.272,1,South,kariox,Corporate,laptop,Standard Class,5461,-3.8646,01-03-2018,28806,North Carolina,01-03-2018,-23.75,1.229105211
132,Springfield,0,3499.93,7,South,fynota,Corporate,colddrinks,Standard Class,7584,909.9818,01-03-2018,22153,Virginia,01-03-2018,26,0
133,Springfield,0,122.97,3,South,kariox,Corporate,phone,Standard Class,7586,60.2553,01-03-2018,22153,Virginia,01-03-2018,49,0
134,Knoxville,0.2,218.376,3,South,qexty,Consumer,tshirts,Standard Class,8346,-10.9188,01-03-2018,37918,Tennessee,01-03-2018,-5,0.091585156
135,Springfield,0,122.94,3,South,kariox,Corporate,headset,Standard Class,7588,59.0112,01-03-2018,22153,Virginia,01-03-2018,48,0
136,Knoxville,0.2,59.2,5,South,kariox,Consumer,tablet,Standard Class,8344,22.2,01-03-2018,37918,Tennessee,01-03-2018,37.5,0.337837838
137,Knoxville,0.2,32.952,3,South,qexty,Consumer,shorts,Standard Class,8345,6.5904,01-03-2018,37918,Tennessee,01-03-2018,20,0.606943433
138,Greensboro,0.7,7.644,4,South,kariox,Consumer,headset,Standard Class,1768,-5.8604,01-03-2018,27405,North Carolina,01-03-2018,-76.66666667,9.157509158
139,Greensboro,0.7,51.465,5,South,kariox,Consumer,headset,Standard Class,1769,-39.4565,01-03-2018,27405,North Carolina,01-03-2018,-76.66666667,1.360147673
140,Tucson,0.2,74.352,3,West,kariox,Corporate,phone,Standard Class,2871,23.235,01-03-2018,85705,Arizona,01-03-2018,31.25,0.268990747
141,Lakeland,0.2,4.992,3,South,qexty,Corporate,shorts,First Class,6165,1.3728,01-03-2018,33801,Florida,01-03-2018,27.5,4.006410256
142,Springfield,0,9.32,4,South,kariox,Corporate,television,Standard Class,7587,2.7028,01-03-2018,22153,Virginia,01-03-2018,29,0
143,Lakeland,0.7,33.57,5,South,kariox,Corporate,headset,First Class,6164,-25.737,01-03-2018,33801,Florida,01-03-2018,-76.66666667,2.085195115
144,Jacksonville,0.2,8.016,3,South,kariox,Home Office,television,Standard Class,2700,1.002,01-03-2018,32216,Florida,01-03-2018,12.5,2.49500998
145,Lakeland,0.2,11.808,4,South,kariox,Corporate,tablet,First Class,6162,3.9852,01-03-2018,33801,Florida,01-03-2018,33.75,1.693766938
146,Jackson,0,12.96,2,South,kariox,Corporate,phone,Standard Class,7430,6.3504,01-03-2018,39212,Mississippi,01-03-2018,49,0
147,Jackson,0,16,4,South,kariox,Corporate,phone,Standard Class,7431,7.68,01-03-2018,39212,Mississippi,01-03-2018,48,0
148,Jackson,0,32.67,3,South,kariox,Corporate,battery,Standard Class,7432,8.4942,01-03-2018,39212,Mississippi,01-03-2018,26,0
149,Philadelphia,0.2,126.624,6,East,kariox,Corporate,phone,Second Class,8011,41.1528,01-03-2018,19134,Pennsylvania,01-03-2018,32.5,0.15794794
150,Jacksonville,0.5,821.3,4,South,fynota,Home Office,sweets,Standard Class,2697,-16.426,01-03-2018,32216,Florida,01-03-2018,-2,0.060879094
151,Jacksonville,0.5,22638.48,6,South,fynota,Home Office,sweets,Standard Class,2698,-1811.0784,01-03-2018,32216,Florida,01-03-2018,-8,0.002208629
152,Jacksonville,0.2,21.376,4,South,kariox,Home Office,phone,Standard Class,2699,7.4816,01-03-2018,32216,Florida,01-03-2018,35,0.935628743
153,Lakeland,0.2,26.16,3,South,kariox,Corporate,laptop,First Class,6163,1.962,01-03-2018,33801,Florida,01-03-2018,7.5,0.764525994
154,Tucson,0.2,314.352,3,West,qexty,Corporate,tshirts,Standard Class,2872,-35.3646,01-03-2018,85705,Arizona,01-03-2018,-11.25,0.063622945
155,Jacksonville,0.2,18.936,3,South,kariox,Home Office,lighting,Standard Class,2702,5.9175,01-03-2018,32216,Florida,01-03-2018,31.25,1.056189269
156,Jacksonville,0.2,122.352,3,South,qexty,Home Office,shorts,Standard Class,2703,15.294,01-03-2018,32216,Florida,01-03-2018,12.5,0.163462796
157,San Francisco,0.15,1198.33,10,West,qexty,Home Office,pants,Second Class,6152,70.49,01-03-2018,94110,California,01-03-2018,5.882352941,0.01251742
158,Burbank,0,111,2,West,qexty,Home Office,shorts,Standard Class,7328,14.43,01-03-2018,91505,California,01-03-2018,13,0
159,Burbank,0.2,1279.968,4,West,fynota,Home Office,sweets,Standard Class,7329,415.9896,01-03-2018,91505,California,01-03-2018,32.5,0.015625391
160,Burbank,0,1856.19,7,West,kariox,Home Office,laptop,Standard Class,7330,334.1142,01-03-2018,91505,California,01-03-2018,18,0
161,Lakeland,0.2,323.976,3,South,fynota,Corporate,colddrinks,First Class,6161,28.3479,01-03-2018,33801,Florida,01-03-2018,8.75,0.061732968
162,Jacksonville,0.2,30.768,2,South,qexty,Home Office,shorts,Standard Class,2701,8.0766,01-03-2018,32216,Florida,01-03-2018,26.25,0.650026001
163,Portage,0,16.28,2,Central,kariox,Consumer,television,Same Day,4341,6.512,01-03-2018,46368,Indiana,01-03-2018,40,0
164,Los Angeles,0,66.3,3,West,fynota,Corporate,chocolates,Standard Class,4245,8.619,01-03-2018,90036,California,01-03-2018,13,0
165,Los Angeles,0.2,604.752,6,West,fynota,Consumer,colddrinks,Second Class,3556,37.797,01-03-2018,90036,California,01-03-2018,6.25,0.033071408
166,Seattle,0,44.4,3,West,kariox,Corporate,tablet,Standard Class,5285,22.2,01-04-2018,98105,Washington,01-03-2018,50,0
167,New York City,0,10.5,5,East,kariox,Corporate,television,First Class,5954,2.94,01-03-2018,10009,New York,01-03-2018,28,0
168,San Francisco,0.15,205.666,2,West,qexty,Consumer,pants,Standard Class,6139,-12.098,01-04-2018,94110,California,01-03-2018,-5.882352941,0.072933786
169,Brownsville,0.2,335.72,5,Central,kariox,Home Office,watch,First Class,7630,113.3055,01-04-2018,78521,Texas,01-03-2018,33.75,0.059573454
170,Brownsville,0.2,251.944,7,Central,fynota,Home Office,colddrinks,First Class,7631,88.1804,01-04-2018,78521,Texas,01-03-2018,35,0.07938272
171,Brownsville,0.3,127.302,7,Central,qexty,Home Office,tshirts,First Class,7632,-9.093,01-04-2018,78521,Texas,01-03-2018,-7.142857143,0.235660084
172,Apple Valley,0,129.3,2,Central,kariox,Consumer,laptop,Standard Class,8431,6.465,01-04-2018,55124,Minnesota,01-03-2018,5,0
173,Seattle,0,15.84,3,West,kariox,Corporate,laptop,Standard Class,5284,0,01-04-2018,98105,Washington,01-03-2018,0,0
174,San Francisco,0.2,673.568,2,West,kariox,Consumer,headset,Standard Class,2230,252.588,01-04-2018,94122,California,01-03-2018,37.5,0.029692622
175,Philadelphia,0.7,0.852,1,East,kariox,Consumer,headset,Same Day,4712,-0.5964,01-03-2018,19120,Pennsylvania,01-03-2018,-70,82.15962441
176,Chicago,0.8,8.134,7,Central,kariox,Consumer,headset,Standard Class,5049,-13.8278,01-04-2018,60610,Illinois,01-03-2018,-170,9.835259405
177,Chicago,0.2,79.984,2,Central,fynota,Consumer,chocolates,Standard Class,5050,13.9972,01-04-2018,60610,Illinois,01-03-2018,17.5,0.25005001
178,Miami,0.7,1.869,1,South,kariox,Corporate,headset,Standard Class,5480,-1.3083,01-04-2018,33180,Florida,01-03-2018,-70,37.45318352
179,Tampa,0.2,1125.488,7,South,qexty,Consumer,tshirts,Same Day,9566,98.4802,01-03-2018,33614,Florida,01-03-2018,8.75,0.01777007
180,Tampa,0.7,12.645,5,South,kariox,Consumer,headset,Same Day,9567,-10.116,01-03-2018,33614,Florida,01-03-2018,-80,5.535784895
181,Tampa,0.2,4.032,2,South,kariox,Consumer,television,Same Day,9568,1.0584,01-03-2018,33614,Florida,01-03-2018,26.25,4.96031746
182,San Francisco,0,52.98,2,West,kariox,Consumer,battery,Standard Class,2231,14.8344,01-04-2018,94122,California,01-03-2018,28,0
183,Los Angeles,0,330.4,2,West,kariox,Consumer,laptop,Second Class,3555,85.904,01-03-2018,90036,California,01-03-2018,26,0
184,Long Beach,0,49.65,5,East,kariox,Consumer,television,Standard Class,2897,20.853,01-04-2018,11561,New York,01-03-2018,42,0
185,Springfield,0.4,330.588,1,East,qexty,Home Office,hoodies,Standard Class,9900,-143.2548,01-04-2018,45503,Ohio,01-03-2018,-43.33333333,0.120996527
186,Delray Beach,0.2,9.912,3,South,kariox,Consumer,tablet,First Class,6591,3.2214,01-03-2018,33445,Florida,01-03-2018,32.5,2.017756255
187,New York City,0,24.9,5,East,kariox,Consumer,phone,Standard Class,4480,11.703,01-03-2018,10024,New York,01-03-2018,47,0
188,Fresno,0,40.48,2,West,qexty,Consumer,shorts,Second Class,7802,14.5728,01-03-2018,93727,California,01-03-2018,36,0
189,New York City,0.1,366.786,7,East,qexty,Consumer,tshirts,Standard Class,2433,65.2064,01-04-2018,10009,New York,01-03-2018,17.77777778,0.027263854
